"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count"
"166",4,"Tinh Cao Bang","2_NMMA",48,1537,4,13,1537004013,1,0,2,3,NA,NA,NA,NA,0.02,1,1,2
"167",4,"Tinh Cao Bang","2_NMMA",48,1537,4,13,1537004013,1,1,2,1,NA,20,20,15,0.02,1,8,2
"168",4,"Tinh Cao Bang","2_NMMA",48,1537,4,14,1537004014,1,1,2,4,NA,0,0,0,15,1,1,2
"169",4,"Tinh Cao Bang","2_NMMA",48,1537,4,14,1537004014,1,2,2,1,NA,0,0,0,15,1,2,2
"170",4,"Tinh Cao Bang","2_NMMA",48,1537,4,15,1537004015,1,0,2,4,NA,8,10,3,0.01,1,1,2
"171",4,"Tinh Cao Bang","2_NMMA",48,1537,4,15,1537004015,1,1,2,1,NA,20,20,15,0.1,1,8,2
"172",4,"Tinh Cao Bang","2_NMMA",51,1666,3,1,1666003001,1,0,2,1,NA,46,0,0,30,1,2,2
"173",4,"Tinh Cao Bang","2_NMMA",51,1666,3,1,1666003001,1,1,2,2,NA,NA,NA,NA,40,1,4,2
"174",4,"Tinh Cao Bang","2_NMMA",51,1666,3,2,1666003002,1,1,1,1,NA,0,0,0,22,1,15,1
"175",4,"Tinh Cao Bang","2_NMMA",51,1666,3,3,1666003003,1,0,2,2,NA,NA,NA,NA,2,1,1,2
"176",4,"Tinh Cao Bang","2_NMMA",51,1666,3,3,1666003003,1,1,2,1,NA,20,20,15,2,1,11,2
"177",4,"Tinh Cao Bang","2_NMMA",51,1666,3,4,1666003004,1,0,2,4,NA,20,20,15,25,2,5,2
"178",4,"Tinh Cao Bang","2_NMMA",51,1666,3,4,1666003004,1,1,2,1,NA,46,0,0,20,2,10,2
"179",4,"Tinh Cao Bang","2_NMMA",51,1666,3,5,1666003005,1,0,1,2,NA,NA,NA,NA,50,1,1,1
"180",4,"Tinh Cao Bang","2_NMMA",51,1666,3,6,1666003006,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,1
"181",4,"Tinh Cao Bang","2_NMMA",51,1666,3,7,1666003007,1,0,2,2,NA,NA,NA,NA,1,1,3,2
"182",4,"Tinh Cao Bang","2_NMMA",51,1666,3,7,1666003007,1,1,2,1,NA,20,20,15,0.5,1,9,2
"183",4,"Tinh Cao Bang","2_NMMA",51,1666,3,8,1666003008,1,0,2,4,NA,20,20,15,250,0,4,2
"184",4,"Tinh Cao Bang","2_NMMA",51,1666,3,8,1666003008,1,1,2,1,NA,46,0,0,150,0,10,2
"185",4,"Tinh Cao Bang","2_NMMA",51,1666,3,9,1666003009,1,0,3,2,NA,NA,NA,NA,50,1,0,3
"186",4,"Tinh Cao Bang","2_NMMA",51,1666,3,9,1666003009,1,1,3,2,NA,NA,NA,NA,50,1,4,3
"187",4,"Tinh Cao Bang","2_NMMA",51,1666,3,9,1666003009,1,2,3,1,NA,46,0,0,20,1,5,3
"188",4,"Tinh Cao Bang","2_NMMA",51,1666,3,11,1666003011,1,0,2,2,NA,NA,NA,NA,0.5,1,3,2
"189",4,"Tinh Cao Bang","2_NMMA",51,1666,3,11,1666003011,1,1,2,1,NA,20,20,15,0.5,1,9,2
"190",4,"Tinh Cao Bang","2_NMMA",51,1666,3,13,1666003013,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,1
"191",4,"Tinh Cao Bang","2_NMMA",51,1666,3,14,1666003014,1,0,2,2,NA,NA,NA,NA,0.3,1,3,2
"192",4,"Tinh Cao Bang","2_NMMA",51,1666,3,14,1666003014,1,1,2,1,NA,20,20,15,0.4,1,9,2
"193",4,"Tinh Cao Bang","2_NMMA",51,1666,3,15,1666003015,1,0,2,4,NA,20,20,15,75,2,4,2
"194",4,"Tinh Cao Bang","2_NMMA",51,1666,3,15,1666003015,1,1,2,1,NA,46,0,0,50,2,10,2
"195",4,"Tinh Cao Bang","2_NMMA",51,1699,4,1,1699004001,1,0,1,1,NA,46,0,0,50,1,2,1
"196",4,"Tinh Cao Bang","2_NMMA",51,1699,4,2,1699004002,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,1
"197",4,"Tinh Cao Bang","2_NMMA",51,1699,4,4,1699004004,1,0,2,2,NA,NA,NA,NA,75,2,0,2
"198",4,"Tinh Cao Bang","2_NMMA",51,1699,4,4,1699004004,1,1,2,1,NA,46,0,0,50,2,10,2
"199",4,"Tinh Cao Bang","2_NMMA",51,1699,4,5,1699004005,1,0,2,2,NA,46,0,0,25,1,2,2
"200",4,"Tinh Cao Bang","2_NMMA",51,1699,4,5,1699004005,1,1,2,1,NA,46,0,0,50,1,4,2
"201",4,"Tinh Cao Bang","2_NMMA",51,1699,4,6,1699004006,1,1,0,NA,NA,NA,NA,NA,NA,2,NA,1
"202",4,"Tinh Cao Bang","2_NMMA",51,1699,4,7,1699004007,1,0,2,2,NA,NA,NA,NA,50,1,1,2
"203",4,"Tinh Cao Bang","2_NMMA",51,1699,4,7,1699004007,1,1,2,1,NA,0,0,0,15,1,10,2
"204",4,"Tinh Cao Bang","2_NMMA",51,1699,4,8,1699004008,1,0,2,4,NA,20,20,15,50,2,4,2
"205",4,"Tinh Cao Bang","2_NMMA",51,1699,4,8,1699004008,1,1,2,1,NA,46,0,0,20,2,10,2
"206",4,"Tinh Cao Bang","2_NMMA",51,1699,4,9,1699004009,1,0,2,1,NA,46,0,0,50,1,3,2
