"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_rice_hh"
"01","Ha Noi","278","Thanh Oai","10162","Phuong Trung",1860
"01","Ha Noi","278","Thanh Oai","10165","Tan Uoc",1587
"01","Ha Noi","278","Thanh Oai","10168","Dan Hoa",896
"01","Ha Noi","278","Thanh Oai","10171","Lien Chau",1138
"01","Ha Noi","278","Thanh Oai","10174","Cao Duong",1424
"01","Ha Noi","278","Thanh Oai","10177","Xuan Duong",1169
"01","Ha Noi","278","Thanh Oai","10180","Hong Duong",2070
"01","Ha Noi","279","Thuong Tin","10183","Thuong Tin",29
"01","Ha Noi","279","Thuong Tin","10186","Ninh So",645
"01","Ha Noi","279","Thuong Tin","10189","Nhi Khe",944
"01","Ha Noi","279","Thuong Tin","10192","Duyen Thai",1660
"01","Ha Noi","279","Thuong Tin","10195","Khanh Ha",2214
"01","Ha Noi","279","Thuong Tin","10198","Hoa Binh",627
"01","Ha Noi","279","Thuong Tin","10201","Van Binh",1503
"01","Ha Noi","279","Thuong Tin","10204","Hien Giang",907
"01","Ha Noi","279","Thuong Tin","10207","Hong Van",177
"01","Ha Noi","279","Thuong Tin","10210","Van Tao",669
"01","Ha Noi","279","Thuong Tin","10213","Lien Phuong",272
"01","Ha Noi","279","Thuong Tin","10216","Van Phu",1436
"01","Ha Noi","279","Thuong Tin","10219","Tu Nhien",722
"01","Ha Noi","279","Thuong Tin","10222","Tien Phong",774
"01","Ha Noi","279","Thuong Tin","10225","Ha Hoi",810
"01","Ha Noi","279","Thuong Tin","10228","Thu Phu",330
"01","Ha Noi","279","Thuong Tin","10231","Nguyen Trai",1837
"01","Ha Noi","279","Thuong Tin","10234","Quat Dong",1138
"01","Ha Noi","279","Thuong Tin","10237","Chuong Duong",756
"01","Ha Noi","279","Thuong Tin","10240","Tan Minh",1181
"01","Ha Noi","279","Thuong Tin","10243","Le Loi",1293
"01","Ha Noi","279","Thuong Tin","10246","Thang Loi",1582
"01","Ha Noi","279","Thuong Tin","10249","Dung Tien",1609
"01","Ha Noi","279","Thuong Tin","10252","Thong Nhat",1140
"01","Ha Noi","279","Thuong Tin","10255","Nghiem Xuyen",1094
"01","Ha Noi","279","Thuong Tin","10258","To Hieu",1546
"01","Ha Noi","279","Thuong Tin","10261","Van Tu",1335
"01","Ha Noi","279","Thuong Tin","10264","Van Diem",325
"01","Ha Noi","279","Thuong Tin","10267","Minh Cuong",882
"01","Ha Noi","280","Phu Xuyen","10270","Phu Minh",228
"01","Ha Noi","280","Phu Xuyen","10273","Phu Xuyen",1079
"01","Ha Noi","280","Phu Xuyen","10276","Hong Minh",1395
"01","Ha Noi","280","Phu Xuyen","10279","Phuong Duc",1434
"01","Ha Noi","280","Phu Xuyen","10282","Van Nhan",461
"01","Ha Noi","280","Phu Xuyen","10285","Thuy Phu",345
"01","Ha Noi","280","Phu Xuyen","10288","Tri Trung",766
"01","Ha Noi","280","Phu Xuyen","10291","Dai Thang",1416
"01","Ha Noi","280","Phu Xuyen","10294","Phu Tuc",1806
"01","Ha Noi","280","Phu Xuyen","10297","Van Hoang",1413
"01","Ha Noi","280","Phu Xuyen","10300","Hong Thai",1301
"01","Ha Noi","280","Phu Xuyen","10303","Hoang Long",1501
"01","Ha Noi","280","Phu Xuyen","10306","Quang Trung",873
"01","Ha Noi","280","Phu Xuyen","10309","Nam Phong",643
"01","Ha Noi","280","Phu Xuyen","10312","Nam Trieu",988
"01","Ha Noi","280","Phu Xuyen","10315","Tan Dan",1766
"01","Ha Noi","280","Phu Xuyen","10318","Son Ha",905
"01","Ha Noi","280","Phu Xuyen","10321","Chuyen My",1310
"01","Ha Noi","280","Phu Xuyen","10324","Khai Thai",1414
"01","Ha Noi","280","Phu Xuyen","10327","Phuc Tien",1610
"01","Ha Noi","280","Phu Xuyen","10330","Van Tu",1013
"01","Ha Noi","280","Phu Xuyen","10333","Tri Thuy",2253
"01","Ha Noi","280","Phu Xuyen","10336","Dai Xuyen",1875
"01","Ha Noi","280","Phu Xuyen","10339","Phu Yen",1020
"01","Ha Noi","280","Phu Xuyen","10342","Bach Ha",1299
"01","Ha Noi","280","Phu Xuyen","10345","Quang Lang",942
"01","Ha Noi","280","Phu Xuyen","10348","Chau Can",2116
"01","Ha Noi","280","Phu Xuyen","10351","Minh Tan",2221
"01","Ha Noi","281","ung Hoa","10354","Van Dinh",1002
"01","Ha Noi","281","ung Hoa","10357","Vien An",1239
"01","Ha Noi","281","ung Hoa","10360","Vien Noi",743
"01","Ha Noi","281","ung Hoa","10363","Hoa Son",1330
"01","Ha Noi","281","ung Hoa","10366","Quang Phu Cau",1548
"01","Ha Noi","281","ung Hoa","10369","Truong Thinh",1378
