"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_coffee_hh"
"01","Ha Noi","279","Thuong Tin","10237","Chuong Duong",0
"01","Ha Noi","279","Thuong Tin","10240","Tan Minh",0
"01","Ha Noi","279","Thuong Tin","10243","Le Loi",0
"01","Ha Noi","279","Thuong Tin","10246","Thang Loi",0
"01","Ha Noi","279","Thuong Tin","10249","Dung Tien",0
"01","Ha Noi","279","Thuong Tin","10252","Thong Nhat",0
"01","Ha Noi","279","Thuong Tin","10255","Nghiem Xuyen",0
"01","Ha Noi","279","Thuong Tin","10258","To Hieu",0
"01","Ha Noi","279","Thuong Tin","10261","Van Tu",0
"01","Ha Noi","279","Thuong Tin","10264","Van Diem",3
"01","Ha Noi","279","Thuong Tin","10267","Minh Cuong",0
"01","Ha Noi","280","Phu Xuyen","10270","Phu Minh",0
"01","Ha Noi","280","Phu Xuyen","10273","Phu Xuyen",0
"01","Ha Noi","280","Phu Xuyen","10276","Hong Minh",0
"01","Ha Noi","280","Phu Xuyen","10279","Phuong Duc",0
"01","Ha Noi","280","Phu Xuyen","10282","Van Nhan",0
"01","Ha Noi","280","Phu Xuyen","10285","Thuy Phu",0
"01","Ha Noi","280","Phu Xuyen","10288","Tri Trung",0
"01","Ha Noi","280","Phu Xuyen","10291","Dai Thang",0
"01","Ha Noi","280","Phu Xuyen","10294","Phu Tuc",0
"01","Ha Noi","280","Phu Xuyen","10297","Van Hoang",0
"01","Ha Noi","280","Phu Xuyen","10300","Hong Thai",0
"01","Ha Noi","280","Phu Xuyen","10303","Hoang Long",0
"01","Ha Noi","280","Phu Xuyen","10306","Quang Trung",0
"01","Ha Noi","280","Phu Xuyen","10309","Nam Phong",0
"01","Ha Noi","280","Phu Xuyen","10312","Nam Trieu",0
"01","Ha Noi","280","Phu Xuyen","10315","Tan Dan",0
"01","Ha Noi","280","Phu Xuyen","10318","Son Ha",0
"01","Ha Noi","280","Phu Xuyen","10321","Chuyen My",0
"01","Ha Noi","280","Phu Xuyen","10324","Khai Thai",0
"01","Ha Noi","280","Phu Xuyen","10327","Phuc Tien",0
"01","Ha Noi","280","Phu Xuyen","10330","Van Tu",0
"01","Ha Noi","280","Phu Xuyen","10333","Tri Thuy",0
"01","Ha Noi","280","Phu Xuyen","10336","Dai Xuyen",0
"01","Ha Noi","280","Phu Xuyen","10339","Phu Yen",0
"01","Ha Noi","280","Phu Xuyen","10342","Bach Ha",0
"01","Ha Noi","280","Phu Xuyen","10345","Quang Lang",0
"01","Ha Noi","280","Phu Xuyen","10348","Chau Can",0
"01","Ha Noi","280","Phu Xuyen","10351","Minh Tan",0
"01","Ha Noi","281","ung Hoa","10354","Van Dinh",0
"01","Ha Noi","281","ung Hoa","10357","Vien An",0
"01","Ha Noi","281","ung Hoa","10360","Vien Noi",0
"01","Ha Noi","281","ung Hoa","10363","Hoa Son",0
"01","Ha Noi","281","ung Hoa","10366","Quang Phu Cau",0
"01","Ha Noi","281","ung Hoa","10369","Truong Thinh",0
"01","Ha Noi","281","ung Hoa","10372","Cao Thanh",0
"01","Ha Noi","281","ung Hoa","10375","Lien Bat",0
"01","Ha Noi","281","ung Hoa","10378","Son Cong",0
"01","Ha Noi","281","ung Hoa","10381","Dong Tien",0
"01","Ha Noi","281","ung Hoa","10384","Phuong Tu",0
"01","Ha Noi","281","ung Hoa","10387","Trung Tu",0
"01","Ha Noi","281","ung Hoa","10390","Dong Tan",0
