"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","timing","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","other_specify","n_year_harvest","dry_method","dry_other","n_year_dry","store_method","moisture","KYDIEUTRA","dry_mechan","hermetic"
"223",8,72,2275,5,7,2275005007,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"224",8,72,2275,5,8,2275005008,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"225",8,72,2275,5,9,2275005009,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"226",8,72,2275,5,10,2275005010,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"227",8,72,2275,5,11,2275005011,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"228",8,72,2275,5,12,2275005012,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"229",8,72,2275,5,14,2275005014,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"230",8,72,2275,5,15,2275005015,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"231",8,73,2344,8,2,2344008002,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"232",8,73,2344,8,3,2344008003,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"233",8,73,2344,8,4,2344008004,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"234",8,73,2344,8,5,2344008005,3,0,0,1,0,NA,NA,1,NA,NA,4,1,1,0,1
"235",8,73,2344,8,6,2344008006,2,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"236",8,73,2344,8,7,2344008007,2,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"237",8,73,2344,8,8,2344008008,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"238",8,73,2344,8,11,2344008011,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"239",8,73,2344,8,14,2344008014,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"240",8,73,2344,8,15,2344008015,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"241",8,73,2353,3,2,2353003002,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"242",8,73,2353,3,3,2353003003,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"243",8,73,2353,3,4,2353003004,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"244",8,73,2353,3,5,2353003005,2,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"245",8,73,2353,3,7,2353003007,2,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"246",8,73,2353,3,8,2353003008,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"247",8,73,2353,3,9,2353003009,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"248",8,73,2353,3,10,2353003010,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"249",8,73,2353,3,13,2353003013,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"250",8,73,2353,3,14,2353003014,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"251",8,73,2353,3,15,2353003015,2,0,1,0,0,NA,3,2,NA,NA,2,2,1,0,0
