"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"01006007003","02","031","01006","007","003",7,1,3230,NA,NA,NA,NA,1640,8910,440
"01006007003","02","031","01006","007","003",7,6,500,16,8,2021,NA,235,2115,440
"01006007004","02","031","01006","007","004",7,1,1600,NA,NA,NA,NA,760,4098,440
"01006007005","02","031","01006","007","005",7,1,5000,NA,NA,NA,NA,2500,13585,440
"01006007006","02","031","01006","007","006",7,1,4166,NA,NA,NA,NA,2000,11144,440
"01006007006","02","031","01006","007","006",7,6,1600,10,8,2021,NA,720,6435,440
"01006007008","02","031","01006","007","008",7,1,1500,NA,NA,NA,NA,750,4070,440
"01006007009","02","031","01006","007","009",7,1,1660,NA,NA,NA,NA,790,4279,440
"01006007011","02","031","01006","007","011",7,1,2500,NA,NA,NA,NA,1200,6600,440
"01006007011","02","031","01006","007","011",7,6,500,16,8,2021,NA,225,2025,440
"01006007012","02","031","01006","007","012",7,1,3230,NA,NA,NA,NA,1500,8162,440
"01006007012","02","031","01006","007","012",7,6,500,15,5,2022,NA,200,1800,440
"01006007013","02","031","01006","007","013",7,1,4666,NA,NA,NA,NA,2190,10582,440
"01006007013","02","031","01006","007","013",7,6,600,15,5,2021,NA,245,2133,440
"01006007015","02","031","01006","007","015",7,1,2800,NA,NA,NA,NA,1500,8226,440
"01069001001","02","032","01069","001","001",5,4,3000,2,5,2022,NA,1725,10351,358
"01069001001","02","032","01069","001","001",5,6,489,2,5,2022,NA,230,3223,358
"01069001002","02","032","01069","001","002",5,4,2867,4,5,2022,NA,1663,9977,358
"01069001002","02","032","01069","001","002",5,6,543,4,5,2022,NA,250,3506,358
"01069001003","02","032","01069","001","003",5,4,1667,22,4,2022,NA,950,5701,358
"01069001003","02","032","01069","001","003",5,6,217,25,4,2022,NA,100,1406,358
"01069001004","02","032","01069","001","004",5,4,2000,5,5,2022,NA,1120,6721,358
"01069001004","02","032","01069","001","004",5,6,217,7,5,2022,NA,98,1376,358
"01069001005","02","032","01069","001","005",5,4,2000,4,5,2022,NA,1120,6709,358
"01069001005","02","032","01069","001","005",5,6,435,4,5,2022,NA,196,2731,358
"01069001006","02","032","01069","001","006",5,4,1533,4,5,2022,NA,859,5153,358
"01069001006","02","032","01069","001","006",5,6,326,5,5,2022,NA,147,2060,358
"01069001007","02","032","01069","001","007",5,4,784,3,5,2022,NA,455,2730,358
"01069001007","02","032","01069","001","007",5,6,383,3,5,2022,NA,176,2472,358
"01069001008","02","032","01069","001","008",5,4,2667,7,5,2022,NA,1552,9313,358
"01069001008","02","032","01069","001","008",5,6,565,8,5,2022,NA,277,3883,358
"01069001009","02","032","01069","001","009",5,4,2862,5,5,2022,NA,1660,9961,358
"01069001009","02","032","01069","001","009",5,6,444,6,5,2022,NA,514,2619,358
"01069001010","02","032","01069","001","010",5,4,2500,5,5,2022,NA,1445,8671,358
"01069001010","02","032","01069","001","010",5,6,591,4,5,2022,NA,272,3811,358
"01069001011","02","032","01069","001","011",5,4,2143,4,5,2022,NA,1244,7172,358
"01069001011","02","032","01069","001","011",5,6,333,5,5,2022,NA,155,2176,358
